Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,5.13,3.0
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,2.13,4.0
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,6.82,3.0
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,1.73,2.0
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,1.52,5.0
ID0036,Diane,2021-01-01,13:42:14,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,1.2,2.0
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,0.6,3.0
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,6.68,1.0
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,2.48,3.0
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,2.15,5.0
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,4.9,5.0
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,6.35,3.0
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,3.23,5.0
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,5.22,5.0
ID0046,Jim,2021-01-01,15:44:38,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,2.37,3.0
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,3.58,5.0
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,1.25,5.0
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,2.53,5.0
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,1.32,3.0
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,6.75,4.0
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,2.87,2.0
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,3.38,5.0
ID0059,Dan,2021-01-02,9:05:46,Technical Support,Y,Y,65.0,6.0,5.0
ID0060,Dan,2021-01-02,9:05:46,Contract related,Y,Y,50.0,4.43,3.0
ID0061,Diane,2021-01-02,9:18:43,Streaming,Y,Y,17.0,6.25,3.0
ID0062,Joe,2021-01-02,9:18:43,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0063,Dan,2021-01-02,9:20:10,Streaming,Y,Y,96.0,6.77,1.0
ID0064,Stewart,2021-01-02,9:20:10,Streaming,Y,Y,90.0,6.38,3.0
ID0065,Jim,2021-01-02,9:38:53,Contract related,Y,Y,98.0,6.42,2.0
ID0066,Diane,2021-01-02,9:38:53,Technical Support,Y,N,90.0,1.38,4.0
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,5.82,5.0
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,3.2,5.0
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,4.75,4.0
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,2.18,4.0
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,5.85,5.0
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,2.32,5.0
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,4.88,1.0
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,1.63,3.0
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,6.63,2.0
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,6.37,2.0
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,3.47,3.0
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,4.78,5.0
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,2.1,4.0
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,6.93,4.0
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,4.73,3.0
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,5.98,4.0
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,4.37,5.0
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,4.6,3.0
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,1.43,4.0
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,3.53,4.0
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,5.68,1.0
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,1.47,3.0
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,2.87,3.0
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,0.88,3.0
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,1.6,3.0
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,3.9,2.0
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,2.05,4.0
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,6.62,3.0
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,5.18,1.0
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,5.52,1.0
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,3.93,2.0
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,6.6,1.0
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,3.42,5.0
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,4.95,3.0
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,2.53,1.0
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,2.63,2.0
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,0.93,3.0
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,6.1,5.0
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,6.02,3.0
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,5.78,5.0
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,5.3,4.0
ID0119,Dan,2021-01-03,9:10:05,Payment related,Y,N,124.0,2.38,5.0
ID0120,Dan,2021-01-03,9:10:05,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0121,Dan,2021-01-03,9:47:31,Technical Support,Y,Y,103.0,1.02,4.0
ID0122,Martha,2021-01-03,9:47:31,Contract related,Y,Y,69.0,3.75,4.0
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,1.2,3.0
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,3.43,5.0
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,5.63,4.0
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,2.77,4.0
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,5.43,4.0
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,5.85,3.0
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,4.15,3.0
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,0.98,5.0
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,5.67,4.0
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,0.88,2.0
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,2.22,1.0
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,5.98,3.0
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,3.2,5.0
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,6.33,5.0
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,1.73,3.0
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,1.72,5.0
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,2.73,4.0
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,2.27,3.0
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,2.92,5.0
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,4.15,5.0
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,1.45,5.0
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,0.83,4.0
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,4.43,3.0
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,0.97,1.0
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,6.05,1.0
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,6.98,4.0
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,6.17,5.0
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,4.27,3.0
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,4.62,2.0
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,4.3,3.0
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,1.25,3.0
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,5.62,1.0
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,2.15,3.0
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,1.55,2.0
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,2.63,1.0
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,3.38,5.0
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,0.97,2.0
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,1.37,3.0
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,5.52,4.0
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,6.23,4.0
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,5.53,4.0
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,2.12,4.0
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,6.02,2.0
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,5.32,5.0
ID0177,Martha,2021-01-04,9:01:26,Contract related,N,N,67.52072027627035,3.748791317217563,3.0
ID0178,Diane,2021-01-04,9:01:26,Streaming,Y,Y,93.0,6.53,5.0
ID0179,Martha,2021-01-04,9:31:41,Payment related,Y,Y,86.0,1.07,4.0
ID0180,Joe,2021-01-04,9:31:41,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0181,Dan,2021-01-04,9:43:12,Contract related,Y,Y,92.0,2.98,3.0
ID0182,Greg,2021-01-04,9:43:12,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,5.7,3.0
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,2.73,3.0
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,4.28,3.0
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,3.82,4.0
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,4.27,3.0
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,6.3,3.0
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,2.37,2.0
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,6.52,5.0
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,6.72,2.0
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,3.73,5.0
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,5.7,4.0
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,5.2,4.0
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,2.73,5.0
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,6.67,5.0
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,4.45,3.0
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,5.07,1.0
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,3.32,3.0
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,2.05,5.0
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,6.0,3.0
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,2.45,5.0
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,4.37,5.0
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,2.73,5.0
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,3.08,3.0
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,3.87,3.0
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,4.98,3.0
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,5.92,4.0
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,4.17,2.0
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,3.03,3.0
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,4.27,4.0
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,3.93,2.0
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,6.83,5.0
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,0.83,1.0
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,3.35,4.0
ID0222,Jim,2021-01-04,16:48:00,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71.0,0.8,2.0
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75.0,1.55,4.0
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77.0,2.7,4.0
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88.0,6.45,4.0
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82.0,3.08,2.0
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110.0,6.5,3.0
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70.0,1.53,3.0
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117.0,3.67,3.0
ID0231,Joe,2021-01-05,9:08:38,Streaming,Y,Y,18.0,0.83,3.0
ID0232,Joe,2021-01-05,9:08:38,Streaming,Y,Y,113.0,2.6,4.0
ID0233,Stewart,2021-01-05,9:25:55,Contract related,Y,N,68.0,3.48,5.0
ID0234,Greg,2021-01-05,9:25:55,Payment related,Y,Y,67.0,4.23,5.0
ID0235,Joe,2021-01-05,9:33:07,Technical Support,Y,Y,36.0,1.12,5.0
ID0236,Stewart,2021-01-05,9:33:07,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33.0,2.5,1.0
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113.0,1.98,5.0
ID0239,Greg,2021-01-05,10:49:26,Contract related,Y,Y,106.0,6.32,3.0
ID0240,Joe,2021-01-05,10:49:26,Streaming,Y,Y,23.0,4.98,3.0
ID0241,Joe,2021-01-05,11:31:12,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0242,Greg,2021-01-05,11:31:12,Payment related,Y,Y,11.0,4.7,1.0
ID0243,Greg,2021-01-05,11:41:17,Contract related,Y,Y,73.0,4.75,5.0
ID0244,Dan,2021-01-05,11:41:17,Admin Support,Y,Y,109.0,4.82,5.0
ID0245,Martha,2021-01-05,11:49:55,Payment related,Y,Y,29.0,4.23,4.0
ID0246,Dan,2021-01-05,11:49:55,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0247,Becky,2021-01-05,11:49:55,Admin Support,Y,Y,81.0,1.23,4.0
ID0248,Greg,2021-01-05,11:49:55,Contract related,Y,Y,59.0,3.87,1.0
ID0249,Becky,2021-01-05,12:00:00,Streaming,Y,Y,32.0,6.48,4.0
ID0250,Martha,2021-01-05,12:00:00,Admin Support,Y,Y,116.0,0.7,4.0
ID0251,Diane,2021-01-05,12:12:58,Payment related,Y,Y,92.0,1.92,5.0
ID0252,Greg,2021-01-05,12:12:58,Streaming,Y,Y,62.0,6.03,5.0
ID0253,Joe,2021-01-05,13:04:48,Payment related,Y,Y,83.0,1.88,5.0
ID0254,Joe,2021-01-05,13:04:48,Admin Support,Y,Y,71.0,2.52,3.0
ID0255,Greg,2021-01-05,13:59:31,Admin Support,Y,N,74.0,4.53,3.0
ID0256,Joe,2021-01-05,13:59:31,Technical Support,Y,Y,96.0,5.77,4.0
ID0257,Diane,2021-01-05,14:42:43,Admin Support,Y,Y,110.0,1.68,1.0
ID0258,Jim,2021-01-05,14:42:43,Streaming,Y,N,110.0,2.63,3.0
ID0259,Dan,2021-01-05,15:18:43,Technical Support,Y,Y,117.0,3.05,4.0
ID0260,Becky,2021-01-05,15:18:43,Admin Support,Y,Y,44.0,5.88,3.0
ID0261,Diane,2021-01-05,15:20:10,Contract related,Y,Y,47.0,6.03,4.0
ID0262,Greg,2021-01-05,15:20:10,Admin Support,Y,Y,97.0,1.27,3.0
ID0263,Greg,2021-01-05,15:31:41,Streaming,Y,Y,67.0,2.65,4.0
ID0264,Diane,2021-01-05,15:31:41,Streaming,Y,Y,72.0,6.8,3.0
ID0265,Becky,2021-01-05,15:31:41,Contract related,Y,Y,68.0,4.35,3.0
ID0266,Joe,2021-01-05,15:31:41,Payment related,Y,Y,98.0,6.37,5.0
ID0267,Joe,2021-01-05,15:37:26,Streaming,Y,Y,120.0,0.93,3.0
ID0268,Dan,2021-01-05,15:37:26,Payment related,Y,Y,13.0,2.55,1.0
ID0269,Jim,2021-01-05,15:44:38,Admin Support,Y,Y,95.0,1.78,5.0
ID0270,Martha,2021-01-05,15:44:38,Payment related,Y,Y,31.0,0.7,5.0
ID0271,Dan,2021-01-05,16:06:14,Streaming,Y,Y,113.0,6.37,3.0
ID0272,Martha,2021-01-05,16:06:14,Technical Support,Y,Y,116.0,4.67,3.0
ID0273,Martha,2021-01-05,16:16:19,Admin Support,Y,N,94.0,5.48,5.0
ID0274,Martha,2021-01-05,16:16:19,Admin Support,Y,N,51.0,4.7,4.0
ID0275,Diane,2021-01-05,16:27:50,Technical Support,Y,Y,60.0,4.12,4.0
ID0276,Diane,2021-01-05,16:27:50,Contract related,Y,Y,59.0,6.07,2.0
ID0277,Stewart,2021-01-05,17:25:26,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0278,Greg,2021-01-05,17:25:26,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0279,Joe,2021-01-05,17:29:46,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0280,Dan,2021-01-05,17:29:46,Contract related,Y,Y,16.0,3.55,4.0
ID0281,Diane,2021-01-05,17:38:24,Technical Support,Y,Y,81.0,1.85,3.0
ID0282,Joe,2021-01-05,17:38:24,Streaming,Y,Y,65.0,6.77,1.0
ID0283,Martha,2021-01-05,17:44:10,Streaming,Y,Y,55.0,3.07,2.0
ID0284,Martha,2021-01-05,17:44:10,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0285,Martha,2021-01-05,17:57:07,Technical Support,Y,Y,31.0,2.42,4.0
ID0286,Diane,2021-01-05,17:57:07,Streaming,Y,Y,45.0,5.22,2.0
ID0287,Greg,2021-01-06,9:08:38,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0288,Stewart,2021-01-06,9:08:38,Payment related,Y,Y,43.0,2.15,5.0
ID0289,Stewart,2021-01-06,10:06:14,Technical Support,Y,Y,55.0,5.93,4.0
ID0290,Stewart,2021-01-06,10:06:14,Contract related,Y,Y,63.0,2.32,3.0
ID0291,Joe,2021-01-06,10:07:41,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0292,Jim,2021-01-06,10:07:41,Contract related,Y,Y,122.0,5.87,1.0
ID0293,Stewart,2021-01-06,10:32:10,Contract related,Y,Y,71.0,2.65,4.0
ID0294,Jim,2021-01-06,10:32:10,Technical Support,Y,Y,54.0,4.95,4.0
ID0295,Stewart,2021-01-06,10:42:14,Streaming,Y,Y,74.0,3.37,4.0
ID0296,Stewart,2021-01-06,10:42:14,Admin Support,Y,Y,125.0,4.78,4.0
ID0297,Dan,2021-01-06,11:12:29,Payment related,Y,Y,110.0,3.72,3.0
